Galaxy Type N_GC N_GC_err Mdyn MBH sig_e err_sig_e A_V MV_T err_MV_T MK Re upMBH lowMBH
ESO-357-G25    S0                22              7          NA             NA             NA             NA             0.043          -17.40         0.20           -18.750        0.74           NA             NA            
ESO-358-G01    S0                37             15           9.674         NA              52.9           4.6           0.039          -18.60         0.20           -20.660        1.81           NA             NA            
IC1919         E                 21             10           9.674         NA              52.9           4.6           0.039          -18.31         0.20           -20.660        1.81           NA             NA            
NGC1332        S0              1000            500          11.420          9.17          320.9          13.7           0.108          -21.62         0.20           -24.760        2.75           0.06           0.06          
FCC-0046       E                 10              5          NA             NA              61.0           5.0           0.051          -16.57         0.20           -19.443        nd             NA             NA            
NGC1336        E                276            100          10.344         NA             101.2           3.9           0.037          -19.14         0.20           -21.562        2.32           NA             NA            
ESO-358-G06    S0                37             15           9.369         NA              45.8           1.2           0.027          -18.43         0.20           -20.795        1.20           NA             NA            
FCC-0059       E                  0              4          NA             NA             NA             NA             0.036          -13.13         0.20           nd             nd             NA             NA            
NGC1339        E                231             80          10.549         NA             161.2           3.2           0.044          -20.01         0.20           -22.858        1.46           NA             NA            
NGC1344        E                280            100          10.874         NA             166.0           3.9           0.059          -21.18         0.20           -24.116        2.92           NA             NA            
NGC1345        S                 16              8          NA             NA             NA             NA             0.125          -17.87         0.22           -20.371        1.77           NA             NA            
NGC1351        E                274             90          10.830         NA             140.2           3.0           0.046          -20.96         0.20           -23.713        3.70           NA             NA            
FCC-90         E                 21              7          NA             NA             NA             NA             0.033          -17.77         0.20           -19.621        0.99           NA             NA            
FCC-95         S0                21              7          NA             NA             NA             NA             0.041          -17.88         0.20           -20.015        nd             NA             NA            
FCC-100        E                 34             12          NA             NA             NA             NA             0.039          -17.07         0.20           nd             nd             NA             NA            
FCC-106        S0                15              5          NA             NA             NA             NA             0.029          -17.49         0.20           -19.478        nd             NA             NA            
IC1959         S                  7              3          NA             NA             NA             NA             0.030          -16.81         0.20           -17.997        0.70           NA             NA            
FCC-119        S0                17              6          NA             NA             NA             NA             0.038          -17.39         0.20           nd             1.73           NA             NA            
FCC-136        E                 25              8          10.418         NA             112.4          22.5           0.044          -17.87         0.20           -19.675        2.23           NA             NA            
FCC-146        E                  1              3          NA             NA             NA             NA             0.040          -13.03         0.20           nd             nd             NA             NA            
NGC1374        E                360             19          10.883         NA             186.4           3.9           0.046          -20.43         0.20           -23.309        2.37           NA             NA            
NGC1375        S0                86             30           9.826         NA              66.1           1.7           0.048          -19.16         0.20           -21.905        1.65           NA             NA            
FCC-150        E                 10              5          NA             NA              63.0           3.0           0.038          -16.47         0.20           -18.283        nd             NA             NA            
ESO-358-G26    S0                60             20           9.684         NA              64.4           4.4           0.039          -19.55         0.20           -22.438        1.25           NA             NA            
ESO-358-G25    S0                16              5           9.634         NA              56.9           2.8           0.028          -18.49         0.20           -20.684        1.43           NA             NA            
NGC1379        E                225             23          10.572         NA             120.1           2.3           0.040          -20.64         0.20           -23.276        2.78           NA             NA            
NGC1380        S0               424            100          11.178         NA             218.5           4.8           0.058          -21.51         0.24           -24.515        3.39           NA             NA            
NGC1381        S0                71             25          10.380         NA             151.2           2.5           0.045          -19.91         0.23           -22.950        1.13           NA             NA            
FCC-174        E                 10              5          NA             NA             NA             NA             0.021          -15.47         0.20           nd             nd             NA             NA            
NGC1380A       S0                70             25           9.605         NA              54.4           3.7           0.049          -18.78         0.27           -21.569        1.46           NA             NA            
FCC-182        S0                59             20           9.642         NA              61.6           3.2           0.036          -17.57         0.20           -19.855        1.24           NA             NA            
NGC1387        E                390             27          10.774         NA             170.2          11.8           0.042          -20.84         0.20           -24.065        2.20           NA             NA            
FCC-189        E                  1              4          NA             NA             NA             NA             0.038          -13.37         0.20           nd             nd             NA             NA            
NGC1380B       S0               156             50           9.966         NA              78.1           2.9           0.057          -18.85         0.20           -21.676        1.63           NA             NA            
NGC1389        S0                48             16          10.411         NA             135.1           6.2           0.035          -20.13         0.21           -22.969        1.52           NA             NA            
ESO-358-G42    E                 30             10          NA             NA             NA             NA             0.032          -16.93         0.20           -18.587        1.69           NA             NA            
ESO-358-G43    S0                17              6           9.722         NA              67.0           4.0           0.029          -17.36         0.20           -19.778        1.26           NA             NA            
NGC1399        E               6000            700          12.011          8.69          337.0          16.0           0.043          -22.03         0.20           -25.276        9.70           0.06           0.07          
NGC1404        E                770            140          11.153         NA             234.4           4.2           0.038          -21.59         0.20           -24.735        2.78           NA             NA            
NGC1400        S0              2960            958          11.310         NA             251.5           4.4           0.214          -21.36         0.20           -24.322        3.47           NA             NA            
NGC1427A       Irr               38             15          NA             NA             NA             NA             0.033          -18.50         0.20           -17.151        2.81           NA             NA            
